Ensmebl_ID	name	Statistic	Pvalue	Significance	qvalue	fdr.level	BEBSites	NumBEBSites			
ENSG00000262406	MMP12	1.902898	0.167754299	NS	1	0.05					
ENSG00000169252	ADRB2	1.77808	0.182385268	NS	1	0.05					
ENSG00000167286	CD3D	1.777102	0.182505587	NS	1	0.05					
ENSG00000269335	IKBKG	1.723584	0.189232358	NS	1	0.05	3 Q 0.514	1			
ENSG00000140749	IGSF6	1.659366	0.197688947	NS	1	0.05					
ENSG00000126264	HCST	1.597366	0.206276887	NS	1	0.05					
ENSG00000121594	CD80	1.560062	0.211656143	NS	1	0.05					
ENSG00000023445	BIRC3	1.445238	0.229293595	NS	1	0.05	18 T 0.523	1			
ENSG00000111641	NOP2	1.428166	0.232063982	NS	1	0.05	85 A 0.650	1			
ENSG00000157557	ETS2	1.395298	0.237512428	NS	1	0.05					
ENSG00000107262	BAG1	1.385588	0.239151596	NS	1	0.05					
ENSG00000105974	CAV1	1.37632	0.240728981	NS	1	0.05					
ENSG00000111752	PHC1	1.182546	0.276838289	NS	1	0.05	8 N 0.863	1			
ENSG00000078549	ADCYAP1R1	1.11116	0.291829929	NS	1	0.05					
ENSG00000085063	CD59	1.045474	0.306551773	NS	1	0.05					
ENSG00000165059	PRKACG	1.045434	0.306561026	NS	1	0.05					
ENSG00000115816	CEBPZ	1.032518	0.309567995	NS	1	0.05	15 P 0.740	1			
ENSG00000058668	ATP2B4	1.011684	0.314499743	NS	1	0.05					
ENSG00000102265	TIMP1	1.005982	0.315867355	NS	1	0.05					
ENSG00000160932	LY6E	0.914604	0.338895786	NS	1	0.05					
ENSG00000167588	GPD1	0.899686	0.34286592	NS	1	0.05					
ENSG00000152270	PDE3B	0.89193	0.344954832	NS	1	0.05					
ENSG00000124767	GLO1	0.883774	0.347170091	NS	1	0.05					
ENSG00000143515	ATP8B2	0.846438	0.357561967	NS	1	0.05	227 K 0.837	1			
ENSG00000135744	AGT	0.834856	0.360872114	NS	1	0.05					
ENSG00000150281	CTF1	0.832012	0.361691383	NS	1	0.05					
ENSG00000186642	PDE2A	0.765488	0.381616505	NS	1	0.05					
ENSG00000143933	CALM2	0.760424	0.383195866	NS	1	0.05					
ENSG00000116584	ARHGEF2	0.75738	0.384149691	NS	1	0.05					
ENSG00000284969	None	0.753948	0.385229142	NS	1	0.05					
ENSG00000160961	ZNF333	0.75139	0.386036505	NS	1	0.05					
ENSG00000104825	NFKBIB	0.659328	0.416797285	NS	1	0.05	170 S 0.784	1			
ENSG00000139083	ETV6	0.644486	0.422091005	NS	1	0.05					
ENSG00000111796	KLRB1	0.639476	0.423900609	NS	1	0.05					
ENSG00000139687	RB1	0.635354	0.425398206	NS	1	0.05					
ENSG00000176928	GCNT4	0.607434	0.435755594	NS	1	0.05					
ENSG00000007350	TKTL1	0.583202	0.445059969	NS	1	0.05	16 - 0.509	1			
ENSG00000112936	C7	0.569212	0.450572217	NS	1	0.05					
ENSG00000114013	CD86	0.552202	0.457419351	NS	1	0.05					
ENSG00000124253	PCK1	0.551698	0.457624721	NS	1	0.05					
ENSG00000065559	MAP2K4	0.53108	0.466153159	NS	1	0.05	313 T 0.960*	1			
ENSG00000137752	CASP1	0.51888	0.471319833	NS	1	0.05					
ENSG00000102145	GATA1	0.474346	0.49099457	NS	1	0.05					
ENSG00000141905	NFIC	0.424192	0.514852695	NS	1	0.05					
ENSG00000118113	MMP8	0.41854	0.517666456	NS	1	0.05					
ENSG00000125966	MMP24	0.394912	0.52972868	NS	1	0.05					
ENSG00000078246	TULP3	0.39264	0.53091496	NS	1	0.05	93 L 0.583	1			
ENSG00000204304	PBX2	0.38207	0.536497484	NS	1	0.05					
ENSG00000185825	BCAP31	0.366718	0.544798697	NS	1	0.05	109 E 0.968*	1			
ENSG00000136872	ALDOB	0.364088	0.546244584	NS	1	0.05					
ENSG00000171855	IFNB1	0.35593	0.550775344	NS	1	0.05					
ENSG00000130561	SAG	0.35085	0.55363236	NS	1	0.05					
ENSG00000186185	KIF18B	0.284214	0.59395242	NS	1	0.05					
ENSG00000152804	HHEX	0.257038	0.61216243	NS	1	0.05	239 S 0.996**	1			
ENSG00000159110	IFNAR2	0.228486	0.632648716	NS	1	0.05					
ENSG00000146054	TRIM7	0.227018	0.633743806	NS	1	0.05					
ENSG00000077150	NFKB2	0.219006	0.639798342	NS	1	0.05	24 I 0.556	1			
ENSG00000197576	HOXA4	0.204536	0.651084163	NS	1	0.05	45 P 0.800	1			
ENSG00000204227	RING1	0.200428	0.654375598	NS	1	0.05	236 G 0.895	1			
ENSG00000156103	MMP16	0.179192	0.672068544	NS	1	0.05					
ENSG00000221829	FANCG	0.170996	0.679228144	NS	1	0.05					
ENSG00000172270	BSG	0.1581	0.690911859	NS	1	0.05					
ENSG00000047634	SCML1	0.153472	0.695239229	NS	1	0.05	27 L 0.554	1			
ENSG00000170178	HOXD12	0.14328	0.705041779	NS	1	0.05	79 G 0.966*	1			
ENSG00000105369	CD79A	0.14133	0.706962376	NS	1	0.05					
ENSG00000260027	HOXB7	0.140754	0.707532582	NS	1	0.05	95 N 0.776	1			
ENSG00000109107	ALDOC	0.138488	0.709788796	NS	1	0.05					
ENSG00000116678	LEPR	0.114074	0.735552777	NS	1	0.05					
ENSG00000185630	PBX1	0.112946	0.736814765	NS	1	0.05	27 Q 0.881	1			
ENSG00000131477	RAMP2	0.099006	0.753025749	NS	1	0.05					
ENSG00000008516	MMP25	0.096758	0.755755404	NS	1	0.05					
ENSG00000159167	STC1	0.089032	0.765411393	NS	1	0.05					
ENSG00000102871	TRADD	0.088402	0.766218597	NS	1	0.05	25 K 0.773	1			
ENSG00000137203	TFAP2A	0.086606	0.768537098	NS	1	0.05					
ENSG00000010310	GIPR	0.085228	0.770333761	NS	1	0.05					
ENSG00000232810	TNF	0.081868	0.774781736	NS	1	0.05	14 E 0.831	1			
ENSG00000128342	LIF	0.080034	0.77725134	NS	1	0.05					
ENSG00000019991	HGF	0.065606	0.797845298	NS	1	0.05					
ENSG00000113263	ITK	0.05856	0.808786567	NS	1	0.05					
ENSG00000157873	TNFRSF14	0.058452	0.80895956	NS	1	0.05					
ENSG00000173599	PC	0.048318	0.826016361	NS	1	0.05					
ENSG00000105996	HOXA2	0.04767	0.827168413	NS	1	0.05	248 G 0.921	1			
ENSG00000180155	LYNX1	0.045556	0.830984941	NS	1	0.05					
ENSG00000168461	RAB31	0.038288	0.844865965	NS	1	0.05					
ENSG00000064835	POU1F1	0.037984	0.845475271	NS	1	0.05					
ENSG00000142166	IFNAR1	0.034824	0.851964938	NS	1	0.05					
ENSG00000145675	PIK3R1	0.02612	0.871607602	NS	1	0.05					
ENSG00000161091	MFSD12	0.02587	0.872218209	NS	1	0.05	259 P 0.531	1			
ENSG00000143627	PKLR	0.024318	0.876078505	NS	1	0.05					
ENSG00000066336	SPI1	0.022272	0.881365785	NS	1	0.05					
ENSG00000171456	ASXL1	0.018356	0.892228964	NS	1	0.05	194 H 0.741	1			
ENSG00000010671	BTK	0.016436	0.897988354	NS	1	0.05					
ENSG00000198626	RYR2	0.015546	0.900774042	NS	1	0.05					
ENSG00000150045	KLRF1	0.012714	0.910223706	NS	1	0.05					
ENSG00000101773	RBBP8	0.012418	0.91127055	NS	1	0.05					
ENSG00000180818	HOXC10	0.01225	0.91187033	NS	1	0.05					
ENSG00000271447	MMP28	0.00979	0.921182393	NS	1	0.05					
ENSG00000180772	AGTR2	0.008682	0.925762747	NS	1	0.05					
ENSG00000198689	SLC9A6	0.0082	0.927847102	NS	1	0.05	2 - 0.883	1			
ENSG00000204305	AGER	0.007122	0.932744813	NS	1	0.05					
ENSG00000170689	HOXB9	0.006748	0.934530446	NS	1	0.05					
ENSG00000168398	BDKRB2	0.00664	0.935055303	NS	1	0.05					
ENSG00000154229	PRKCA	0.006618	0.935162744	NS	1	0.05	671 A 0.528	1			
ENSG00000197943	PLCG2	0.005246	0.942260287	NS	1	0.05					
ENSG00000003402	CFLAR	0.004738	0.945122445	NS	1	0.05	29 A 0.527	1			
ENSG00000134686	PHC2	0.004138	0.948709626	NS	1	0.05					
ENSG00000182199	SHMT2	0.003574	0.952328513	NS	1	0.05					
ENSG00000119640	ACYP1	0.003156	0.955199778	NS	1	0.05					
ENSG00000133773	CCDC59	0.002698	0.958574689	NS	1	0.05					
ENSG00000131473	ACLY	0.002178	0.962777	NS	1	0.05					
ENSG00000180720	CHRM4	0.002094	0.963501346	NS	1	0.05					
ENSG00000178562	CD28	0.001896	0.965268622	NS	1	0.05					
ENSG00000145908	ZNF300	0.00128	0.971460103	NS	1	0.05	253 G 0.941	1			
ENSG00000120868	APAF1	0.001234	0.971977406	NS	1	0.05	502 A 0.536	1			
ENSG00000119314	PTBP3	0.001202	0.972342985	NS	1	0.05					
ENSG00000144674	GOLGA4	0.001094	0.973614244	NS	1	0.05	1024 K 0.549	1			
ENSG00000007372	PAX6	0.000978	0.975051829	NS	1	0.05					
ENSG00000161203	AP2M1	0.000978	0.975051829	NS	1	0.05					
ENSG00000110148	CCKBR	0.00086	0.976604785	NS	1	0.05					
ENSG00000159184	HOXB13	0.000828	0.977044048	NS	1	0.05	114 A 0.893	1			
ENSG00000143190	POU2F1	0.00064	0.979817093	NS	1	0.05					
ENSG00000198909	MAP3K3	0.000532	0.981598324	NS	1	0.05	33 S 0.934	1			
ENSG00000137673	MMP7	0.000442	0.983226673	NS	1	0.05					
ENSG00000151376	ME3	0.00034	0.985288569	NS	1	0.05					
ENSG00000141570	CBX8	0.000326	0.985594602	NS	1	0.05	220 D 0.714	1			
ENSG00000105698	USF2	0.000282	0.986601869	NS	1	0.05					
ENSG00000115607	IL18RAP	0.000268	0.98693865	NS	1	0.05					
ENSG00000131724	IL13RA1	0.000166	0.989720261	NS	1	0.05					
ENSG00000106006	HOXA6	0.00014	0.990559523	NS	1	0.05	81 S 0.516	1			
ENSG00000138670	RASGEF1B	0.000128	0.990973159	NS	1	0.05					
ENSG00000090447	TFAP4	8.40E-05	0.99268737	NS	1	0.05					
ENSG00000177463	NR2C2	8.00E-05	0.992863599	NS	1	0.05	1 M 0.716	1			
ENSG00000123374	CDK2	5.40E-05	0.994136823	NS	1	0.05					
ENSG00000198353	HOXC4	5.20E-05	0.994246423	NS	1	0.05					
ENSG00000198814	GK	5.20E-05	0.994246423	NS	1	0.05					
ENSG00000278540	ACACA	3.60E-05	0.995212722	NS	1	0.05					
ENSG00000112769	LAMA4	2.80E-05	0.995778012	NS	1	0.05					
ENSG00000169006	NTSR2	2.60E-05	0.995931589	NS	1	0.05					
ENSG00000100852	ARHGAP5	2.40E-05	0.996091195	NS	1	0.05					
ENSG00000197063	MAFG	2.40E-05	0.996091196	NS	1	0.05					
ENSG00000077097	TOP2B	2.00E-05	0.996431764	NS	1	0.05	1272 V 0.880	1			
ENSG00000007968	E2F2	1.80E-05	0.996614873	NS	1	0.05					
ENSG00000168539	CHRM1	1.60E-05	0.99680847	NS	1	0.05					
ENSG00000069696	DRD4	1.20E-05	0.997236052	NS	1	0.05					
ENSG00000169814	BTD	1.20E-05	0.997236053	NS	1	0.05	171 L 0.760	1			
ENSG00000127241	MASP1	1.00E-05	0.997476871	NS	1	0.05					
ENSG00000103769	RAB11A	1.00E-05	0.997476872	NS	1	0.05					
ENSG00000111716	LDHB	1.00E-05	0.997476872	NS	1	0.05					
ENSG00000155229	MMS19	1.00E-05	0.997476872	NS	1	0.05					
ENSG00000138002	IFT172	8.00E-06	0.997743244	NS	1	0.05	247 A 0.901	1			
ENSG00000168291	PDHB	8.00E-06	0.997743245	NS	1	0.05					
ENSG00000061676	NCKAP1	6.00E-06	0.998045592	NS	1	0.05					
ENSG00000144426	NBEAL1	6.00E-06	0.998045592	NS	1	0.05	854 P 0.803	1			
ENSG00000143632	ACTA1	6.00E-06	0.998045592	NS	1	0.05					
ENSG00000120093	HOXB3	6.00E-06	0.998045592	NS	1	0.05	70 N 0.697	1			
ENSG00000156219	ART3	6.00E-06	0.998045592	NS	1	0.05					
ENSG00000163823	CCR1	6.00E-06	0.998045592	NS	1	0.05					
ENSG00000153310	CYRIB	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000196712	NF1	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000185022	MAFF	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000137154	RPS6	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000138071	ACTR2	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000196092	PAX5	4.00E-06	0.998404232	NS	1	0.05					
ENSG00000042832	TG	2.00E-06	0.998871617	NS	1	0.05	310 S 0.728	1			
ENSG00000009954	BAZ1B	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000017797	RALBP1	2.00E-06	0.998871621	NS	1	0.05	173 I 0.567	1			
ENSG00000067182	TNFRSF1A	2.00E-06	0.998871621	NS	1	0.05	95 H 0.642	1			
ENSG00000067715	SYT1	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000092067	CEBPE	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000102996	MMP15	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000103313	MEFV	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000106462	EZH2	2.00E-06	0.998871621	NS	1	0.05	74 V 0.985*	1			
ENSG00000110514	MADD	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000113141	IK	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000113594	LIFR	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000115159	GPD2	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000121879	PIK3CA	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000125378	BMP4	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000134853	PDGFRA	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000138107	ACTR1A	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000138669	PRKG2	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000147044	CASK	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000150768	DLAT	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000156735	BAG4	2.00E-06	0.998871621	NS	1	0.05	34 P 0.669	1			
ENSG00000175054	ATR	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000184937	WT1	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000187140	FOXD3	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000116717	GADD45A	2.00E-06	0.998871621	NS	1	0.05					
ENSG00000100906	NFKBIA	2.00E-06	0.998871622	NS	1	0.05	9 Q 0.996**	1			
ENSG00000101958	GLRA2	2.00E-06	0.998871622	NS	1	0.05					
ENSG00000155876	RRAGA	2.00E-06	0.998871622	NS	1	0.05					
ENSG00000171360	KRT38	2.00E-06	0.998871622	NS	1	0.05					
ENSG00000112761	CCN6	2.00E-06	0.998871622	NS	1	0.05					
ENSG00000253293	HOXA10	2.00E-06	0.998871622	NS	1	0.05	89 N 0.673	1			
ENSG00000078142	PIK3C3	2.00E-06	0.998871623	NS	1	0.05	63 V 0.668	1			
ENSG00000005339	CREBBP	2.00E-06	0.998871625	NS	1	0.05					
ENSG00000001167	NFYA	0	1	NS	1	0.05					
ENSG00000005073	HOXA11	0	1	NS	1	0.05	113 N 0.773	1			
ENSG00000005249	PRKAR2B	0	1	NS	1	0.05					
ENSG00000005844	ITGAL	0	1	NS	1	0.05					
ENSG00000008441	NFIX	0	1	NS	1	0.05					
ENSG00000010256	UQCRC1	0	1	NS	1	0.05					
ENSG00000012124	CD22	0	1	NS	1	0.05					
ENSG00000015475	BID	0	1	NS	1	0.05					
ENSG00000021852	C8B	0	1	NS	1	0.05					
ENSG00000023287	RB1CC1	0	1	NS	1	0.05	34 S 0.571	1			
ENSG00000027697	IFNGR1	0	1	NS	1	0.05					
ENSG00000028137	TNFRSF1B	0	1	NS	1	0.05	101 T 0.758	1			
ENSG00000029993	HMGB3	0	1	NS	1	0.05					
ENSG00000035862	TIMP2	0	1	NS	1	0.05					
ENSG00000037280	FLT4	0	1	NS	1	0.05					
ENSG00000041353	RAB27B	0	1	NS	1	0.05	146 R 0.563	1			
ENSG00000043514	TRIT1	0	1	NS	1	0.05	378 A 0.828	1			
ENSG00000052802	MSMO1	0	1	NS	1	0.05					
ENSG00000062485	CS	0	1	NS	1	0.05					
ENSG00000063854	HAGH	0	1	NS	1	0.05					
ENSG00000063978	RNF4	0	1	NS	1	0.05	147 R 0.959*	1			
ENSG00000065000	AP3D1	0	1	NS	1	0.05	453 R 0.878	1			
ENSG00000065526	SPEN	0	1	NS	1	0.05					
ENSG00000065833	ME1	0	1	NS	1	0.05					
ENSG00000065911	MTHFD2	0	1	NS	1	0.05					
ENSG00000067225	PKM	0	1	NS	1	0.05	221 A 0.877	1			
ENSG00000068903	SIRT2	0	1	NS	1	0.05					
ENSG00000069974	RAB27A	0	1	NS	1	0.05	216 K 0.722	1			
ENSG00000071564	TCF3	0	1	NS	1	0.05					
ENSG00000072210	ALDH3A2	0	1	NS	1	0.05					
ENSG00000074219	TEAD2	0	1	NS	1	0.05					
ENSG00000074266	EED	0	1	NS	1	0.05					
ENSG00000074800	ENO1	0	1	NS	1	0.05					
ENSG00000075239	ACAT1	0	1	NS	1	0.05					
ENSG00000076555	ACACB	0	1	NS	1	0.05					
ENSG00000078399	HOXA9	0	1	NS	1	0.05	9 D 0.969*	1			
ENSG00000079999	KEAP1	0	1	NS	1	0.05	113 N 0.646	1			
ENSG00000081985	IL12RB2	0	1	NS	1	0.05					
ENSG00000082212	ME2	0	1	NS	1	0.05					
ENSG00000084733	RAB10	0	1	NS	1	0.05					
ENSG00000085662	AKR1B1	0	1	NS	1	0.05					
ENSG00000087245	MMP2	0	1	NS	1	0.05					
ENSG00000090339	ICAM1	0	1	NS	1	0.05					
ENSG00000090376	IRAK3	0	1	NS	1	0.05					
ENSG00000091140	DLD	0	1	NS	1	0.05					
ENSG00000096996	IL12RB1	0	1	NS	1	0.05					
ENSG00000099804	CDC34	0	1	NS	1	0.05					
ENSG00000099875	MKNK2	0	1	NS	1	0.05					
ENSG00000099953	MMP11	0	1	NS	1	0.05					
ENSG00000100027	YPEL1	0	1	NS	1	0.05					
ENSG00000100030	MAPK1	0	1	NS	1	0.05	11 - 0.717	1			
ENSG00000100075	SLC25A1	0	1	NS	1	0.05					
ENSG00000100219	XBP1	0	1	NS	1	0.05					
ENSG00000100234	TIMP3	0	1	NS	1	0.05					
ENSG00000100393	EP300	0	1	NS	1	0.05					
ENSG00000100453	GZMB	0	1	NS	1	0.05					
ENSG00000100485	SOS2	0	1	NS	1	0.05					
ENSG00000100596	SPTLC2	0	1	NS	1	0.05					
ENSG00000100714	MTHFD1	0	1	NS	1	0.05					
ENSG00000100985	MMP9	0	1	NS	1	0.05					
ENSG00000101412	E2F1	0	1	NS	1	0.05					
ENSG00000102144	PGK1	0	1	NS	1	0.05					
ENSG00000102755	FLT1	0	1	NS	1	0.05					
ENSG00000105220	GPI	0	1	NS	1	0.05					
ENSG00000105610	KLF1	0	1	NS	1	0.05					
ENSG00000105649	RAB3A	0	1	NS	1	0.05					
ENSG00000105991	HOXA1	0	1	NS	1	0.05	94 S 0.929	1			
ENSG00000105993	DNAJB6	0	1	NS	1	0.05	130 R 0.620	1			
ENSG00000105997	HOXA3	0	1	NS	1	0.05	109 - 0.866	1			
ENSG00000106004	HOXA5	0	1	NS	1	0.05	131 N 0.907	1			
ENSG00000106689	LHX2	0	1	NS	1	0.05	13 - 0.866	1			
ENSG00000106804	C5	0	1	NS	1	0.05					
ENSG00000107485	GATA3	0	1	NS	1	0.05					
ENSG00000107643	MAPK8	0	1	NS	1	0.05					
ENSG00000108342	CSF3	0	1	NS	1	0.05					
ENSG00000108417	KRT37	0	1	NS	1	0.05					
ENSG00000108511	HOXB6	0	1	NS	1	0.05	63 G 0.745	1			
ENSG00000108515	ENO3	0	1	NS	1	0.05					
ENSG00000108528	SLC25A11	0	1	NS	1	0.05					
ENSG00000108691	CCL2	0	1	NS	1	0.05					
ENSG00000108774	RAB5C	0	1	NS	1	0.05	9 S 0.808	1			
ENSG00000108799	EZH1	0	1	NS	1	0.05	185 Q 0.909	1			
ENSG00000108813	DLX4	0	1	NS	1	0.05					
ENSG00000108946	PRKAR1A	0	1	NS	1	0.05					
ENSG00000109320	NFKB1	0	1	NS	1	0.05	135 V 0.814	1			
ENSG00000109471	IL2	0	1	NS	1	0.05					
ENSG00000109738	GLRB	0	1	NS	1	0.05					
ENSG00000109787	KLF3	0	1	NS	1	0.05					
ENSG00000110092	CCND1	0	1	NS	1	0.05					
ENSG00000110330	BIRC2	0	1	NS	1	0.05					
ENSG00000110848	CD69	0	1	NS	1	0.05					
ENSG00000111271	ACAD10	0	1	NS	1	0.05					
ENSG00000111275	ALDH2	0	1	NS	1	0.05					
ENSG00000111348	ARHGDIB	0	1	NS	1	0.05	89 G 0.754	1			
ENSG00000111540	RAB5B	0	1	NS	1	0.05					
ENSG00000111602	TIMELESS	0	1	NS	1	0.05					
ENSG00000111669	TPI1	0	1	NS	1	0.05					
ENSG00000111674	ENO2	0	1	NS	1	0.05					
ENSG00000112062	MAPK14	0	1	NS	1	0.05	17 - 0.822	1			
ENSG00000112658	SRF	0	1	NS	1	0.05					
ENSG00000112983	BRD8	0	1	NS	1	0.05					
ENSG00000113712	CSNK1A1	0	1	NS	1	0.05					
ENSG00000113739	STC2	0	1	NS	1	0.05					
ENSG00000114302	PRKAR2A	0	1	NS	1	0.05					
ENSG00000114857	NKTR	0	1	NS	1	0.05	266 N 0.995**	1			
ENSG00000115325	DOK1	0	1	NS	1	0.05					
ENSG00000115415	STAT1	0	1	NS	1	0.05					
ENSG00000115641	FHL2	0	1	NS	1	0.05					
ENSG00000116044	NFE2L2	0	1	NS	1	0.05					
ENSG00000116132	PRRX1	0	1	NS	1	0.05					
ENSG00000116679	IVNS1ABP	0	1	NS	1	0.05					
ENSG00000116824	CD2	0	1	NS	1	0.05					
ENSG00000116984	MTR	0	1	NS	1	0.05					
ENSG00000117400	MPL	0	1	NS	1	0.05					
ENSG00000118260	CREB1	0	1	NS	1	0.05					
ENSG00000118503	TNFAIP3	0	1	NS	1	0.05	69 I 0.658	1			
ENSG00000118513	MYB	0	1	NS	1	0.05					
ENSG00000119203	CPSF3	0	1	NS	1	0.05					
ENSG00000119402	FBXW2	0	1	NS	1	0.05					
ENSG00000120068	HOXB8	0	1	NS	1	0.05					
ENSG00000120075	HOXB5	0	1	NS	1	0.05					
ENSG00000120094	HOXB1	0	1	NS	1	0.05	18 G 0.717	1			
ENSG00000120690	ELF1	0	1	NS	1	0.05					
ENSG00000120738	EGR1	0	1	NS	1	0.05					
ENSG00000120889	TNFRSF10B	0	1	NS	1	0.05					
ENSG00000122592	HOXA7	0	1	NS	1	0.05	103 K 0.866	1			
ENSG00000122679	RAMP3	0	1	NS	1	0.05					
ENSG00000123342	MMP19	0	1	NS	1	0.05					
ENSG00000123364	HOXC13	0	1	NS	1	0.05					
ENSG00000123405	NFE2	0	1	NS	1	0.05					
ENSG00000123595	RAB9A	0	1	NS	1	0.05					
ENSG00000123999	INHA	0	1	NS	1	0.05					
ENSG00000124391	IL17C	0	1	NS	1	0.05					
ENSG00000124762	CDKN1A	0	1	NS	1	0.05					
ENSG00000124875	CXCL6	0	1	NS	1	0.05					
ENSG00000125347	IRF1	0	1	NS	1	0.05					
ENSG00000125363	AMELX	0	1	NS	1	0.05					
ENSG00000125618	PAX8	0	1	NS	1	0.05					
ENSG00000125730	C3	0	1	NS	1	0.05					
ENSG00000126561	STAT5A	0	1	NS	1	0.05					
ENSG00000127022	CANX	0	1	NS	1	0.05					
